Category,Title,Description,ImageFile,LogoFile,VideoFile,Genre,Match,Year,IMDb,Streams
Kho Tàng Viral,Baldurs Gate 3,"Đỉnh cao Narrative Design. Bài học về kịch bản phi tuyến tính và chiều sâu nhân vật.",https://images.unsplash.com/photo-1542751371-adc38448a05e?q=80&w=2070,,,Game,100%,GOTY,Deep,Story
Kho Tàng Viral,Elden Ring,"Nghệ thuật kể chuyện qua môi trường (Environmental Storytelling). Viral không cần lời nói.",https://images.unsplash.com/photo-1511512578047-dfb367046420?q=80&w=2071,,,Game,99%,GOTY,Lore,Vibe
Kho Tàng Viral,Manga Storytelling,"Phân tích cấu trúc cốt truyện 3 hồi và nhịp điệu trong Manga Nhật Bản.",https://images.unsplash.com/photo-1512820790803-83ca734da794?q=80&w=1998,,,Analysis,98%,Study,Hook,Pace
Kho Tàng Viral,Case Study Tấm Cám,"Mổ xẻ công thức viral 50K shares: Insight, Reframing và Cảm xúc.",https://images.unsplash.com/photo-1455849318743-b2233052fcff?q=80&w=2069,,,Case,97%,Viral,Break,Down
Tủ Sách Content,Kỹ Nghệ Viết,"(Ngày ngày viết chữ). Rèn luyện tư duy ngôn ngữ và sự tinh tế trong câu từ.",https://images.unsplash.com/photo-1455390582262-044cdead277a?q=80&w=2073,,,Book,95%,Skill,Craft,Word
Tủ Sách Content,Marketing Foundation,"(Think Markus). Nền tảng tư duy Marketing bài bản, gốc rễ của mọi chiến dịch.",https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?q=80&w=2070,,,Book,98%,Core,Root,Think
Tủ Sách Content,Writing Marathon,"(Đinh Đức Hoàng). Rèn luyện sức bền và kỷ luật trong việc viết lách.",https://images.unsplash.com/photo-1488190211105-8b0e65b80b4e?q=80&w=2070,,,Course,96%,Grit,Run,Write
Tủ Sách Content,Contagious,"(Jonah Berger). Giải mã khoa học đằng sau sự lan truyền. Tại sao tin tức lại lây lan?",https://images.unsplash.com/photo-1481627834876-b7833e8f5570?q=80&w=2028,,,Book,99%,Viral,Why,Best
Những Người Thầy Lớn,Cô Long Truyền Thông,"Bài học về Tư duy chiến lược và Sự tử tế trong nghề.",https://images.unsplash.com/photo-1544717305-2782549b5136?q=80&w=1974,,,Mentor,100%,Life,Soul,Path
Những Người Thầy Lớn,Paul Graham,"Tư duy khởi nghiệp, làm điều mọi người cần và viết lách súc tích.",https://images.unsplash.com/photo-1556761175-5973dc0f32e7?q=80&w=2032,,,Thinker,99%,Tech,Write,Real
Những Người Thầy Lớn,Naval Ravikant,"Sự giàu có thực sự, hạnh phúc và đòn bẩy trong thời đại mới.",https://images.unsplash.com/photo-1519681393784-d120267933ba?q=80&w=2070,,,Wisdom,98%,Life,Lever,Peace
Những Người Thầy Lớn,Sam Altman,"Tầm nhìn tương lai, AI và cách kiến tạo những điều vĩ đại.",https://images.unsplash.com/photo-1620712943543-bcc4688e7485?q=80&w=1965,,,Future,97%,AI,Big,View
